title,author,date,content
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"Se ha iluminado el cielo de Plaza Sésamo con la llegada de un nuevo muppet verde limón de cabello amarillo, llamado Karli quien ya es buena amiga de Elmo y, ¿quién no quisiera ser amigo de Elmo? Por el momento, Karli está viviendo con Dalia y Clem -ya te enterarás en un segundo por qué- y como hoy es martes de pizza, la familia ha invitado a Elmo para compartir una rebanada de pizza."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"Al final de este conmovedor video nuevo titulado You Belong (Tú perteneces), Elmo recibirá una gran lección de vida, igual que tú."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"Mientras todos se reúnen en la mesa, Karli señala el individual en forma de corazón marcado con el nombre de Dalia, el que lleva el nombre de Clem y el del invitado especial Elmo. Hay un puesto en la mesa para cada uno de ellos, pero ¿dónde está el individual de Karli?"
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"Mientras brotan lágrimas de sus ojos y su voz se quiebra de tristeza, se le vienen a la mente verdades muy dolorosas: Dalia y Clem no son sus padres verdaderos, este no es su hogar y realmente no tiene un lugar en la mesa o en el mundo o, eso es lo que ella piensa."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"En esta escena, Plaza Sésamo -el programa de televisión que se ha dedicado a educar y entretener a los niños por más de 50 años- empieza mostrando las vicisitudes de cientos de miles de niños como Karli, quienes han tenido que vivir separados de sus padres biológicos en un hogar de acogida."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"La historia de Karli se presenta en una serie de videos en línea gratuitos, un libro de cuentos llamado The Feeling Basket (La canasta de los sentimientos) y actividades interactivas familiares, cortesía de Mi familia: Plaza Sésamo en las comunidades, un programa que ofrece una amplia variedad de recursos de apoyo para los cuidadores y proveedores comunitarios."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"Los materiales del programa abordan situaciones difíciles: circunstancias colmadas de emociones que para algunos niños son difíciles de afrontar a temprana edad y que pueden variar desde la violencia en su comunidad, el acoso escolar, el divorcio, hasta la falta de un hogar estable, la separación de las familias y la acogida temporal."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"""Queremos que los padres de acogida y los proveedores comprendan que la labor que desempeñan es importante, tienen el arduo trabajo de construir y reconstruir estructuras familiares, así como el sentido de seguridad de los niños"", dijo la Doctora Jeanette Betancourt, vicepresidenta de Sesame Workshop, la organización educativa que produce Plaza Sésamo."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"La canción You Belong es solo el comienzo. Actualmente existen otros dos videos sobre Karli: On Your Team y A Heart Can Grow (Estamos contigo y Un corazón puede crecer, respectivamente), en la que Karli le muestra a Elmo su proyecto artístico y explica que aunque se siente descorazonada porque está separada de su mamá, su corazón sigue creciendo más y más, gracias a la amabilidad y compasión de Dalia y Clem."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"Como siempre, Plaza Sésamo se basa en la vida real y en datos estadísticos para mostrar que la situación de Karli se presenta con más frecuencia de lo que se piensa. Hay casi 443,000 niños en hogares de acogida temporal en un día dado. Eso es aproximadamente 6 de cada 1,000 niños en Estados Unidos y más de la mitad de ellos tienen menos de ocho años de edad."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"En promedio, los niños pasan hasta dos años en estos hogares antes de reunirse con sus padres, ser adoptados o ubicados en un hogar permanente. Sin embargo, algunos niños pueden permanecer en un hogar de acogida por cinco años o más."
Un lugar para Karli,Achieve 3000,17 de junio de 2019,¿Cuánto tiempo estará Karli en un hogar de acogida temporal? Dalia y Clem le responden a Elmo que no están seguros. Lo único que saben es que la madre de Karli no puede cuidarla en este momento.
Un lugar para Karli,Achieve 3000,17 de junio de 2019,"Pero hasta que no se determine su lugar permanente, Karli puede valerse de sus padres ""temporales"" Dalia y Clem para brindarle todo lo que necesita, además de amigos como Elmo que la ayudan a ver un futuro más brillante."
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,Los Juegos Olímpicos de Invierno en Pekín (China) acaban de empezar ¡y los mejores atletas del mundo están listos para la acción! Estos son algunos de los acontecimientos más destacados de los Juegos de Invierno de 2022.
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,"Rusia obtuvo la medalla de oro en la prueba por equipos de patinaje artístico. En esta competencia, cada país selecciona a sus mejores patinadores individuales, patinadores en pareja y bailarines sobre hielo para competir en equipo."
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,"La rusa Kamila Valieva, una prodigio de 15 años de edad, acumuló varios puntos para su país al realizar dos saltos cuádruples que fueron los primeros realizados por una patinadora en toda la historia de los Juegos Olímpicos."
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,"En la prueba por equipos, Estados Unidos ganó la medalla de plata con la ayuda de los bailarines sobre hielo Madison Chock y Evan Bates. Chock y Bates aseguraron una gran cantidad de puntos para los estadounidenses. Ahora se enfrentarán a los equipos de danza sobre hielo de Francia y Rusia en las competencias individuales."
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,"La pista ovalada de hielo no fue un desafío para la holandesa Ireen Wüst. La patinadora ganó la carrera de 1,500 metros del patinaje a velocidad en tan solo un minuto y 53:28 segundos, estableciendo así un nuevo récord olímpico."
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,"Su rival más cercana, la japonesa Miho Takagi, actual campeona de la Copa del Mundo de patinaje a velocidad, ganó la medalla de plata. Quedó solo a 0.44 segundos detrás de Wüst. ¡Como para comerse las uñas de los nervios!"
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,La victoria de Wüst la convirtió en el primer atleta en ganar una medalla de oro individual en cinco Juegos Olímpicos. Esta última medalla es su duodécima y eso la convierte en la patinadora de velocidad olímpica más condecorada en la historia deportiva.
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,"El snowboard (surf sobre nieve) tuvo un inicio fulgurante con la prueba de pendiente. En las competencias de snowboard en pendiente, los atletas se enfrentan a un circuito lleno de obstáculos como saltos y barandillas, mientras realizan giros, volteretas y otros trucos."
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,"El canadiense Max Parrot, quien ganó la plata en la prueba en los Juegos Olímpicos de 2018, ocupó esta vez el primer puesto. Fue un regreso triunfal para Parrot, a quien se le diagnosticó cáncer unos meses después de terminar los juegos en 2018."
La batalla por la medalla: primera parte,Achieve 3000,8 de febrero de 2022,"Los dos años siguientes tuvo que someterse a tratamiento. Una vez recuperada su salud, Parrot prometió volver al deporte que amaba. Y ¡ahora parece estar en mejor condición que nunca!. ""Cada vez que pongo los pies en la tabla de snowboard, amo más a este deporte"", dijo Parrot a los periodistas."
